A_Name_Ch,A_Summary,A_Keywords,A_AlsoKnown,A_Geo,A_Location,A_POIGroup,A_Name_En,A_Name_Latin,A_Phylum,A_Class,A_Order,A_Family,A_Conservation,A_Distribution,A_Habitat,A_Feature,A_Behavior,A_Diet,A_Crisis,A_Interpretation,A_Theme_Name,A_Theme_URL,A_Adopt,A_Code,A_Pic01_ALT,A_Pic01_URL,A_Pic02_ALT,A_Pic02_URL,A_Pic03_ALT,A_Pic03_URL,A_Pic04_ALT,A_Pic04_URL,A_pdf01_ALT,A_pdf01_URL,A_pdf02_ALT,A_pdf02_URL,A_Voice01_ALT,A_Voice01_URL,A_Voice02_ALT,A_Voice02_URL,A_Voice03_ALT,A_Voice03_URL,A_Vedio_URL,A_Update,A_CID
眼斑銅蜥,,,,MULTIPOINT ((121.5898494 24.9940697)),兩棲爬蟲動物館,兩棲爬蟲動物館, Ocellated skink,Chaicides ocellatus,脊索動物門,爬蟲綱,有鱗目,石龍子科,,歐洲南部、非洲北部、東部到亞洲西南部。,生活在沙質和多岩石乾燥環境。,中小型蜥蜴，體型細長略成圓筒形，四肢短，均具有五趾，尾巴約為身長的一半。頭部扁平，吻端尖扁，具有眼瞼，全身鱗片為圓鱗，光滑具有光澤。身體背部為褐色，上有許多黑色斑點，腹部為黃白色。,日行性,節肢動物、環節動物、軟體動物,,"眼斑銅蜥 Ocellated skink
．特徵：中小型蜥蜴，體型細長略成圓筒形，四肢短，均具有五趾，尾巴約為身長的一半。頭部扁平，吻端尖扁，具有眼瞼，全身鱗片為圓鱗，光滑具有光澤。身體背部為褐色，上有許多黑色斑點，腹部為黃白色。
Characteristics: A medium small lizard with a slender body that is slightly cylindrical, and has short limbs with five toes to each foot. Its tail is roughly half of its body length. It has a flattened head, pointy snout, eyelids, and is covered entirely in circular scales that are smooth and glossy. Its surface color is brown with black spots, and has a yellowish white underside.
 ．分布：歐洲南部、非洲北部、東部到亞洲西南部。生活在沙質和多岩石乾燥環境。
Distribution: It is found throughout Southern Europe, Northern and Eastern parts of Africa to Southwestern area of Asia, occurring to arid sandy and rocky habitats.  
",,,,Skink-O,眼斑銅蜥,http://www.zoo.gov.tw/iTAP/03_Animals/AmphibianReptile/Skink-O/Skink-O_Pic01.jpg,,,,,,,,,,,,,,,,,,2015/11/23,67
莫氏樹蛙,,,,MULTIPOINT ((121.5898494 24.9940697)),兩棲爬蟲動物館,兩棲爬蟲動物館,Moltrecht’s green treefrog,Rhacophorus moltrechti,脊索動物門,兩棲綱,無尾目 ,樹蛙科,,臺灣特有種。,生活在中、低海拔山區的潮濕樹叢、池塘、岩石下。,體型中等，前之粗短，指、趾間有蹼末端具吸盤，體背工滑為翠綠或墨綠色，偶有白色小斑點，腹部為黃白色，腹側偶有黑斑分布，腹部股間及後肢內側為鮮紅色，並散佈著大小黑色斑點。,夜行性,節肢動物,,"莫氏樹蛙 Moltrecht’s green treefrog
．特徵：體型中等，前之粗短，指、趾間有蹼末端具吸盤，體背工滑為翠綠或墨綠色，偶有白色小斑點，腹部為黃白色，腹側偶有黑斑分布，腹部股間及後肢內側為鮮紅色，並散佈著大小黑色斑點。
Characteristics: It is a medium size tree frog with short forelimbs. Its finger and toe tips have extended disks with basal webs in between. The back of its body is smooth and is either jade green or olive green in color, with occasional tiny, white specks. Its underside is yellowish-white. At times there are also black blotches distributed on the ventral side too. Its belly, buttocks and the ventral side of the hind thighs are a shade of bright red, covered with black spots varied in sizes. 
．分布：臺灣特有種。生活在中、低海拔山區的潮濕樹叢、池塘、岩石下。
Distribution: Limited to Taiwan. It lives in moist and wet tree clumps, ponds, and under boulders of middle and low altitudes, 
",,,,Frog-NT,莫氏樹蛙,http://www.zoo.gov.tw/iTAP/03_Animals/AmphibianReptile/Frog-NT/Frog-NT_Pic01.jpg,莫氏樹蛙,http://www.zoo.gov.tw/iTAP/03_Animals/AmphibianReptile/Frog-NT/Frog-NT_Pic02.jpg,莫氏樹蛙,http://www.zoo.gov.tw/iTAP/03_Animals/AmphibianReptile/Frog-NT/Frog-NT_Pic03.jpg,莫氏樹蛙,http://www.zoo.gov.tw/iTAP/03_Animals/AmphibianReptile/Frog-NT/Frog-NT_Pic04.jpg,,,,,,,,,,,https://www.youtube.com/playlist?list=PLWYak5Af5-DsI0VcGEZspDS1JIwL5dmvF,2017/9/29,68
斑龜,,, ,MULTIPOINT ((121.5898494 24.9940697)),兩棲爬蟲動物館,兩棲爬蟲動物館,Chinese striped-neck turtle,Ocadia sinensis,脊索動物門,爬蟲綱,龜鱉目,河龜科,,東亞的中國東南部、越南北部和臺灣。,生活在平地的池塘、沼澤和流速緩慢的河流等水域。斑龜是目前臺灣本土淡水龜中數量最多、分布最廣和最常見到的種類，在公園水池和河流很容易發現斑龜的身影，經常和外來種的紅耳龜一起出現。,體型中型，幼體背甲上有三列隆起稜脊，成體背甲兩側的稜脊變不明顯。頭、頸部兩側和四肢有黃綠色相間的條紋，背甲為黑褐色或深橄欖綠色，盾片上有淺棕色或橙褐色斑紋，腹甲為黃褐色，每個盾板上有黑斑。,日行性,植物、魚類、兩棲類,,"斑龜 Chinese striped-neck turtle
．特徵：體型中型，幼體背甲上有三列隆起稜脊，成體背甲兩側的稜脊變不明顯。頭、頸部兩側和四肢有黃綠色相間的條紋，背甲為黑褐色或深橄欖綠色，盾片上有淺棕色或橙褐色斑紋，腹甲為黃褐色，每個盾板上有黑斑。
Characteristics: It is a medium size turtle. Juveniles have three rows of keels on the carapace, with two o on either side of the shell becoming indistinct after adulthood. Yellow and green stripes decorate the sides of the head and neck area, as well as the limbs too. The carapace is blackish brown or dark olive green in color, and has pale brown or orange markings on the scutes. The plastron is yellowish brown, with a black blotch on each plate.   
．分布：東亞的中國東南部、越南北部和臺灣。生活在平地的池塘、沼澤和流速緩慢的河流等水域。斑龜是目前臺灣本土淡水龜中數量最多、分布最廣和最常見到的種類，在公園水池和河流很容易發現斑龜的身影，經常和外來種的紅耳龜一起出現。
Distribution: It is native to East Asia, founded ithroughout the Southeastern part of China, the northern part of Vietnam and in Taiwan. It occurs to flatland water bodies such as ponds, swamps and slow-moving rivers. The Chinese striped-neck turtle is the most populous of all freshwater turtles native to Taiwan presently, as well as having the widest distribution and the common sighted species. It is easy to spot a Chinese striped-neck turtle at a pond inside a park or around rivers. This turtle is often seen together with a foreign species known as the Red-eared slider.  
",,,,Turtle-CS,斑龜,http://www.zoo.gov.tw/iTAP/03_Animals/AmphibianReptile/Turtle-CS/Turtle-CS_Pic01.jpg,,,,,,,,,,,,,,,,,,2015/11/23,69
斯文豪氏攀蜥,,,,MULTIPOINT ((121.5898494 24.9940697)),兩棲爬蟲動物館,兩棲爬蟲動物館,Swinhoe’s tree lizard,Japalura swinhonis,脊索動物門,爬蟲綱,有鱗目,飛蜥科,,臺灣特有種。,生活在於中低海拔的森林邊緣，公園、學校都可發現其蹤跡。,臺灣特有種體型最大者，背部以褐色為主，口腔外緣呈白色或乳白色，頸背有突起的脊鱗，雄性的下顎有明顯的白斑，有明顯之鬣鱗與喉垂，體側有明顯黃綠色縱帶，雄蜥具有強烈的領域性。,日行性,昆蟲、無脊椎動物,,"斯文豪氏攀蜥Swinhoe’s tree lizard
．特徵：臺灣特有種體型最大者，背部以褐色為主，口腔外緣呈白色或乳白色，頸背有突起的脊鱗，雄性的下顎有明顯的白斑，有明顯之鬣鱗與喉垂，體側有明顯黃綠色縱帶，雄蜥具有強烈的領域性。
Characteristics: The largest lizard endemic to Taiwan. It has mostly a brown background, a white or cream-colored oral border, and rising keeled scales on the back of its head. The male has distinct white spots on the lower jaw, prominent fringed scales and a dewlap, and visible yellowish-green longitudinal stripes on the body flanks. The male is also extremely territorial.  
．分布：臺灣特有種。生活在於中低海拔的森林邊緣，公園、學校都可發現其蹤跡。
Distribution: Limited only to Taiwan, occurring to the edges of forests at middle to low altitudes, and is seen in parks and schools too. 
",,,,Lizard-ST,斯文豪氏攀蜥,http://www.zoo.gov.tw/iTAP/03_Animals/AmphibianReptile/Lizard-ST/Lizard-ST_Pic01.jpg,斯文豪氏攀蜥,http://www.zoo.gov.tw/iTAP/03_Animals/AmphibianReptile/Lizard-ST/Lizard-ST_Pic02.jpg,斯文豪氏攀蜥,http://www.zoo.gov.tw/iTAP/03_Animals/AmphibianReptile/Lizard-ST/Lizard-ST_Pic03.jpg,斯文豪氏攀蜥,http://www.zoo.gov.tw/iTAP/03_Animals/AmphibianReptile/Lizard-ST/Lizard-ST_Pic04.jpg,,,,,,,,,,,,2015/11/23,70
猴尾蜥,,,,MULTIPOINT ((121.5898494 24.9940697)),兩棲爬蟲動物館,兩棲爬蟲動物館,Monkey-tailed skink,Corucia zebrata,脊索動物門,爬蟲綱,有鱗目,石龍子科 ,,大洋洲的所羅門群島和布干維爾群島的熱帶雨林。,,身體粗壯，世界上最大的石龍子，頭部很大略成三角形，吻端鈍圓，上、下顎強而有力，四肢有長而利的爪子，尾長強壯可捲曲纏繞。身體為橄欖綠色或褐色，上有不明顯的深褐色斑紋，腹部為淡綠褐色。,夜行性,植物,," 猴尾蜥 Monkey-tailed skink
．特徵：身體粗壯，世界上最大的石龍子，頭部很大略成三角形，吻端鈍圓，上、下顎強而有力，四肢有長而利的爪子，尾長強壯可捲曲纏繞。身體為橄欖綠色或褐色，上有不明顯的深褐色斑紋，腹部為淡綠褐色。
Distribution: It is stout and heavy bodied, being the world’s largest species of extant skink. The head is big and slightly triangular-shaped, the jaws strong and powerful, and the limbs are tipped with long, sharp claws. Its prehensile tail is long and powerful made to grip. The body is olive green or brown in color, speckled with indistinct dark brown stripes. The underside is a pale greenish brown.  
．分布：大洋洲的所羅門群島和布干維爾群島的熱帶雨林。
Distribution: It is native to Oceania, found in the Solomon Islands and the Bougainville Islands, 
occuring to tropical rainforests. 
",,,,Skink-M,猴尾蜥,http://www.zoo.gov.tw/iTAP/03_Animals/AmphibianReptile/Skink-M/Skink-M_Pic01.jpg,,,,,,,,,,,,,,,,,,2015/11/23,71
華麗王者蜥,,,,MULTIPOINT ((121.5898494 24.9940697)),兩棲爬蟲動物館,兩棲爬蟲動物館,Ornate Mastigure,Uromastyx ornate,脊索動物門,爬蟲綱,蜥蜴亞目,飛蜥科,,埃及.以色列和沙烏地阿拉伯。,生活在沙漠或乾和草原區。,,,,,,,,,Mastigure-O,華麗王者蜥,http://www.zoo.gov.tw/iTAP/03_Animals/AmphibianReptile/Mastigure-O/Mastigure-O_Pic01.jpg,,,,,,,,,,,,,,,,,https://www.youtube.com/playlist?list=PLWYak5Af5-DuY123fM57IcGfGxoSsuv9j,2017/9/29,72
鈍尾毒蜥,,,,MULTIPOINT ((121.5898494 24.9940697)),兩棲爬蟲動物館,兩棲爬蟲動物館,Gila monster,Heloderma suspectum,脊索動物門,爬蟲綱,有鱗目,毒蜥科,,北美洲西部。,從美國的西南部到墨西哥的西北部。生活在沙漠、乾燥的草原、灌叢和樹林。,體型粗胖，頭部寬大，吻端圓鈍，眼睛小，身體圓胖，尾巴粗短，身體背部和四肢覆滿圓珠狀鱗片。吻部到嘴角和四肢為黑色，頭頂、身體和尾巴為粉紅色、黃色或橘紅色，上有不規則暗褐色或黑色的斑紋。,日行性,節肢動物、爬蟲類、鳥類、哺乳類、鳥蛋,,"鈍尾毒蜥 Gila monster
．特徵：體型粗胖，頭部寬大，吻端圓鈍，眼睛小，身體圓胖，尾巴粗短，身體背部和四肢覆滿圓珠狀鱗片。吻部到嘴角和四肢為黑色，頭頂、身體和尾巴為粉紅色、黃色或橘紅色，上有不規則暗褐色或黑色的斑紋。
Characteristics: It is fleshy and heavy, with a broad head, an obtuse snout, small eyes, a round, 
sausage-like body, and a short, stubby tail. The dorsal and four limbs are covered with round, bead-like scales. It is black colored from the snout to the corner of the mouth and on all the limbs. The head, body and tail may be pink, yellow or orange red, topped with irregular-shaped brown or black markings. 
．分布：北美洲西部。從美國的西南部到墨西哥的西北部。生活在沙漠、乾燥的草原、灌叢和樹林。
Distribution: It is native to the Western region of North America, founded from the Southwestern part of United States to the Northwestern part of Mexico. It occurs to desserts, and dry grasslands, scrublands and woodlands. 
",,,,Gila,鈍尾毒蜥,http://www.zoo.gov.tw/iTAP/03_Animals/AmphibianReptile/Gila/Gila_Pic01.jpg,鈍尾毒蜥,http://www.zoo.gov.tw/iTAP/03_Animals/AmphibianReptile/Gila/Gila_Pic02.jpg,鈍尾毒蜥,http://www.zoo.gov.tw/iTAP/03_Animals/AmphibianReptile/Gila/Gila_Pic03.jpg,鈍尾毒蜥,http://www.zoo.gov.tw/iTAP/03_Animals/AmphibianReptile/Gila/Gila_Pic04.jpg,,,,,,,,,,,,2015/11/23,73
黃頭象龜,,,,MULTIPOINT ((121.5898494 24.9940697)),兩棲爬蟲動物館,兩棲爬蟲動物館,Yellow-headed tortoise,Indotestudo elongata,脊索動物門,爬蟲綱,龜鱉目,陸龜科,,南亞和東南亞,熱帶常綠林和落葉林山區丘陵和高原潮濕森林底層。,,,,,,,,,Tortoise-Y,黃頭象龜,http://www.zoo.gov.tw/iTAP/03_Animals/AmphibianReptile/Tortoise-Y/Tortoise-Y_Pic01.jpg,,,,,,,,,,,,,,,,,,2015/11/23,74
黃環林蛇,,,,MULTIPOINT ((121.5898494 24.9940697)),兩棲爬蟲動物館,兩棲爬蟲動物館,Mangrove snake,Boiga dendrophila,脊索動物門,爬蟲綱,有鱗目,黃頷蛇科,,東南亞，從中南半島經馬來半島到菲律賓和印尼。,生活在紅樹林、沼澤、河流、熱帶雨林、季風林和灌叢。,體型細長稍側扁，頭部大略成三角形，眼睛大，瞳孔垂直，具後溝牙，全身鱗片平滑具有光澤。頭部背面為黑色，上唇鱗、下頷和喉部為鮮黃色，身體背部為黑色，體側有許多條黃色細斑紋，腹部為黑藍色。,夜行性,兩棲類、爬蟲類、鳥類、哺乳類、蛋,,"黃環林蛇 Mangrove snake
．特徵：體型細長稍側扁，頭部大略成三角形，眼睛大，瞳孔垂直，具後溝牙，全身鱗片平滑具有光澤。頭部背面為黑色，上唇鱗、下頷和喉部為鮮黃色，身體背部為黑色，體側有許多條黃色細斑紋，腹部為黑藍色。
Characteristics: It is long and slender with the body slightly laterally compressed. The head is roughly shaped like a triangle, and the eyes are big with vertical pupils. It is rear fanged and is covered with smooth and glossy scales on the body. It is black above the head; supralabial, infralabial and the throat are bright yellow. The dorsal surface is black, and there are multiple narrow yellow bands confining to the flanks.  The underside is blackish blue. 
．分布：東南亞，從中南半島經馬來半島到菲律賓和印尼。生活在紅樹林、沼澤、河流、熱帶雨林、季風林和灌叢。
Distribution: It is found in Southeast Asia, from Indochina through the Malay Peninsula to the Philippines and Indonesia, occurring to mangroves, swamps, rivers, tropical rainforests, monsoon forests and scrubs. 
",,,,Snake-M,黃環林蛇,http://www.zoo.gov.tw/iTAP/03_Animals/AmphibianReptile/Snake-M/Snake-M_Pic01.jpg,,,,,,,,,,,,,,,,,,2015/11/23,75
圓眼珍珠蛙,,,,MULTIPOINT ((121.5898494 24.9940697)),兩棲爬蟲動物館,兩棲爬蟲動物館,Budgett's frog,Lepidobatrachus laevis,脊索動物門,兩棲綱,無尾目 ,細趾蟾科,,南美洲的阿根廷、玻利維亞和巴拉圭。,生活在河川和湖泊沿岸的沼澤中。,中大型蛙類，體型圓胖扁平，後肢短，嘴巴很大。眼睛圓且突出，瞳孔略成菱形。身體背部為灰褐色，上面帶有橄欖綠色或暗橘色斑紋，但會隨著環境而改變，腹部灰白色。半水棲性，乾旱期會躲在濕地土壤中。,,昆蟲、小魚,,"圓眼珍珠蛙Budgett's frog
中大型蛙類，體型圓胖扁平，後肢短，嘴巴很大。眼睛圓且突出，瞳孔略成菱形。身體背部為灰褐色，上面帶有橄欖綠色或暗橘色斑紋，但會隨著環境而改變，腹部灰白色。半水棲性，乾旱期會躲在濕地土壤中。
Characteristics: A medium-large frog that has a circular, flattened body, short hind legs and a very large mouth. Its eyes are round and blob-like, with pupils slightly diamond shaped. It has a grayish brown background coloring with olive green or dark orange blotches, which will change according to the environment. Its underside is grayish white. It is semi-aquatic, and burrows in muddy underground during the dry season.  
．分布：南美洲的阿根廷、玻利維亞和巴拉圭。生活在河川和湖泊沿岸的沼澤中。
Distribution: It is found in South America, in the countries Argentina, Bolivia and Paraguay, occurring to swamps at the edge of rivers, streams, lakes and ponds.
",,,,Frog-H,圓眼珍珠蛙,http://www.zoo.gov.tw/iTAP/03_Animals/AmphibianReptile/Frog-H/Frog-H_Pic01.jpg,圓眼珍珠蛙,http://www.zoo.gov.tw/iTAP/03_Animals/AmphibianReptile/Frog-H/Frog-H_Pic02.jpg,圓眼珍珠蛙,http://www.zoo.gov.tw/iTAP/03_Animals/AmphibianReptile/Frog-H/Frog-H_Pic03.jpg,圓眼珍珠蛙,http://www.zoo.gov.tw/iTAP/03_Animals/AmphibianReptile/Frog-H/Frog-H_Pic04.jpg,,,,,,,,,,,,2015/11/23,76
飾紋角蛙,,,,MULTIPOINT ((121.5898494 24.9940697)),兩棲爬蟲動物館,兩棲爬蟲動物館,Ornate horned frog,Ceratophrys ornata,脊索動物門,兩棲綱,無尾目,細趾蟾科,,南美洲的巴西東南部、烏拉圭、巴拉圭和阿根廷東北部。,生活在熱帶雨林與草原。,體型圓胖壯碩，四肢短但強而有力，頭部很大，嘴部寬大，眼眶上緣有角狀突起，背部有許多疣狀突起。體背部為翠綠色或黃綠色，上有許多不規則的暗色斑紋，腹面為黃白色，上面也有許多深色小斑點。,夜行性,節肢動物、魚類、兩棲類、小型哺乳類,,"飾紋角蛙 Ornate horned frog
．特徵：體型圓胖壯碩，四肢短但強而有力，頭部很大，嘴部寬大，眼眶上緣有角狀突起，背部有許多疣狀突起。體背部為翠綠色或黃綠色，上有許多不規則的暗色斑紋，腹面為黃白色，上面也有許多深色小斑點。
Characteristics: It has a round, plump body with short and powerful limbs. It has an enormously large head, an extremely wide mouth, and horn-like prolongation of the edge of the upper eyelid. The back is covered with numerous warty protrusions. The dorsal surface is emerald green or yellowish green in color, and topped with many irregular-shaped dark spots and stripes. The underside is yellowish white, also specked with multiple dark spots. 
．分布：南美洲的巴西東南部、烏拉圭、巴拉圭和阿根廷東北部。生活在熱帶雨林與草原。
Distribution: It is native to South America, ranging from the Southeastern part of Brazil, to Uruguay, Paraguay and the Northeastern region of Argentina. It occurs to tropical rainforests and grasslands.  
",,,,Frog-OH,飾紋角蛙,http://www.zoo.gov.tw/iTAP/03_Animals/AmphibianReptile/Frog-OH/Frog-OH_Pic01.jpg,,,,,,,,,,,,,,,,,,2015/11/23,77
綠長鬣蜥,,,,MULTIPOINT ((121.5898494 24.9940697)),兩棲爬蟲動物館,兩棲爬蟲動物館,Green water dragon,Physignathus cocincinus,脊索動物門,爬蟲綱,有鱗目,飛蜥科,,東南亞和東亞的中國南部、越南、高棉、柬普寨和泰國。,生活在溪流附近的闊葉林中。,體型粗壯，尾巴細長側扁，由頸部到尾部的背面中央有一排刺狀脊鱗。身體為橄欖綠色或黃綠色，喉部和下唇的大型鱗片為白色，尾部有數個深黑褐色環帶。,日行性,節肢動物、環節動物、魚類、兩棲類、爬蟲類、鳥類、植物,,"綠長鬣蜥 Green water dragon
．特徵：體型粗壯，尾巴細長側扁，由頸部到尾部的背面中央有一排刺狀脊鱗。身體為橄欖綠色或黃綠色，喉部和下唇的大型鱗片為白色，尾部有數個深黑褐色環帶。
Characteristics: It is robust in appearance, with a long, slender tail that is laterally compressed, and a row of spiny, keeled scales on the mid-dorsal surface extending from neck to tail. The body is olive green or yellowish green. The large scales at the throat and lower lip are white. The tail is banded with multiple dark black-brown rings. 
．分布：東南亞和東亞的中國南部、越南、高棉、柬普寨和泰國。生活在溪流附近的闊葉林中。
Distribution: It is found in Southeast Asia and East Asia in the Southern region of China, Vietnam, Laos, Cambodia and Thailand. It occurs to broadleaf forests close to streams
",,,,Dragon-GW,綠長鬣蜥,http://www.zoo.gov.tw/iTAP/03_Animals/AmphibianReptile/Dragon-GW/Dragon-GW_Pic01.jpg,綠長鬣蜥,http://www.zoo.gov.tw/iTAP/03_Animals/AmphibianReptile/Dragon-GW/Dragon-GW_Pic02.jpg,綠長鬣蜥,http://www.zoo.gov.tw/iTAP/03_Animals/AmphibianReptile/Dragon-GW/Dragon-GW_Pic03.jpg,綠長鬣蜥,http://www.zoo.gov.tw/iTAP/03_Animals/AmphibianReptile/Dragon-GW/Dragon-GW_Pic04.jpg,,,,,,,,,,,,2015/11/23,78
綠樹蟒,,,,MULTIPOINT ((121.5898494 24.9940697)),兩棲爬蟲動物館,兩棲爬蟲動物館, Green tree python,Morelia viridis,脊索動物門,爬蟲綱,有鱗目,蟒科,,澳洲東北端和新幾內亞和附近島嶼。,生活在熱帶雨林的樹上。,體型粗壯厚實，頭部鱗片除唇鱗和鼻孔周圍外都很細小，吻鱗和上、下唇鱗具有感熱的唇窩。成蛇為翠綠色，兩側和背面散佈白色、黃色或淺藍色斑點，腹部為黃色，幼蛇為黃色或暗褐色雜有黑白相間斑紋。,夜行性,爬蟲類、鳥類、哺乳動物,,"綠樹蟒 Green tree python
．特徵：體型粗壯厚實，頭部鱗片除唇鱗和鼻孔周圍外都很細小，吻鱗和上、下唇鱗具有感熱的唇窩。成蛇為翠綠色，兩側和背面散佈白色、黃色或淺藍色斑點，腹部為黃色，幼蛇為黃色或暗褐色雜有黑白相間斑紋。
Characteristics: It is thick and solid in appearance, with small head scalation except for supralabial and those bordering the nostrils. The snout, supralabial and sublabial scales have thermoreceptive pits. Adults are vivid green in color with white, yellow or light blue spots scattered on the back and down the sides, and a yellow belly. Juveniles are yellow or slate brown intermitted with black and white stripes and spots. 
．分布：澳洲東北端和新幾內亞和附近島嶼。生活在熱帶雨林的樹上。
Distribution: It is found in the Northeastern Tip of Australia, Papua New Guinea and nearby 
islands, occurring to trees in tropical rainforests.  ",,,,Python-GT,綠樹蟒,http://www.zoo.gov.tw/iTAP/03_Animals/AmphibianReptile/Python-GT/Python-GT_Pic01.jpg,綠樹蟒,http://www.zoo.gov.tw/iTAP/03_Animals/AmphibianReptile/Python-GT/Python-GT_Pic02.jpg,綠樹蟒,http://www.zoo.gov.tw/iTAP/03_Animals/AmphibianReptile/Python-GT/Python-GT_Pic03.jpg,綠樹蟒,http://www.zoo.gov.tw/iTAP/03_Animals/AmphibianReptile/Python-GT/Python-GT_Pic04.jpg,,,,,,,,,,,,2015/11/23,79
綠鬣蜥,,,,MULTIPOINT ((121.5898494 24.9940697)),兩棲爬蟲動物館,兩棲爬蟲動物館,Green iguana,Iguana iguana,脊索動物門,爬蟲綱,有鱗目,鬣蜥科,,中、南美洲。從中美洲墨西哥到南美洲巴拉圭和西印度群島。,生活在溪流附近的熱帶雨林中。,體型粗壯，尾部長而側扁，下顎兩側有一大形圓鱗，外耳孔明顯，喉褶可收縮，頸背部延伸至尾部有一列梳齒狀鱗片，四肢強壯有力。全身為綠色，在體側和尾部有數條淡黑色橫帶。,日行性,節肢動物，成體為草食,,"綠鬣蜥 Green iguana
．特徵：體型粗壯，尾部長而側扁，下顎兩側有一大形圓鱗，外耳孔明顯，喉褶可收縮，頸背部延伸至尾部有一列梳齒狀鱗片，四肢強壯有力。全身為綠色，在體側和尾部有數條淡黑色橫帶。
Characteristics: It is stoutly built, with a long, laterally compressed tail, and large round scales on both cheeks. It has distinct external ear openings, retractable throat folds, and a row of spines along the back extending down to its tail. It is green and has grayish-black diagonal stripes on the ventral sides and on the tail too.
．分布：中、南美洲。從中美洲墨西哥到南美洲巴拉圭和西印度群島。生活在溪流附近的熱帶雨林中。
Distribution: It is found in Central and South America, ranging from Mexico in Central America to Paraguay in South America and the West Indies. It inhabits tropical rainforests near rivers and streams.
",,,,Iguana,綠鬣蜥,http://www.zoo.gov.tw/iTAP/03_Animals/AmphibianReptile/Iguana/Iguana_Pic01.jpg,綠鬣蜥,http://www.zoo.gov.tw/iTAP/03_Animals/AmphibianReptile/Iguana/Iguana_Pic02.jpg,綠鬣蜥,http://www.zoo.gov.tw/iTAP/03_Animals/AmphibianReptile/Iguana/Iguana_Pic03.jpg,綠鬣蜥,http://www.zoo.gov.tw/iTAP/03_Animals/AmphibianReptile/Iguana/Iguana_Pic04.jpg,,,,,,,,,,,,2015/11/23,80
翡翠樹蛙,,,,MULTIPOINT ((121.5898494 24.9940697)),兩棲爬蟲動物館,兩棲爬蟲動物館, Emerald green tree frog,Rhacophorus prasinatus,脊索動物門,爬蟲綱,無尾目,樹蛙科,,臺灣特有種。臺灣臺北、宜蘭和桃園。,生活在低海拔山區闊葉林和果園、茶園和竹林等開墾地。,體型修長，眼前後皮褶明顯，背部皮膚略粗糙有細顆粒突起，趾末端吸盤發達。眼前後皮褶和虹彩為金黃色，體色為翠綠色或黃綠色，體側由吻端到股間有一條白線，體側和後腿有黑色斑紋，腹部為白色。,夜行性,節肢動物,,"翡翠樹蛙 Emerald green tree frog
．特徵：體型修長，眼前後皮褶明顯，背部皮膚略粗糙有細顆粒突起，趾末端吸盤發達。眼前後皮褶和虹彩為金黃色，體色為翠綠色或黃綠色，體側由吻端到股間有一條白線，體側和後腿有黑色斑紋，腹部為白色。
Characteristics: It has a slender body and distinct skin folds both in front and behind the eyes. 
The skin on its back is slightly rough covered with small granules, and the toe tips
are extended into discs. The anterior and posterior eye folds as well as the irises 
are colored golden. Its skin is emerald green or yellowish-green, with a white line
from the upper lip to the flank. There are black stripes on the sides and hind limbs.
The underside is white.
 ．分布：臺灣特有種。臺灣臺北、宜蘭和桃園。生活在低海拔山區闊葉林和果園、茶園和竹林等開墾地。
Distribution: Endemic to Taiwan. It is found in Taipei, Yilan and Taoyuan, occurring to lowland broadleaved forests and cultivated lands such as fruit orchards, tea plantations and bamboo forests. 
",,,,Frog-ET,翡翠樹蛙,http://www.zoo.gov.tw/iTAP/03_Animals/AmphibianReptile/Frog-ET/Frog-ET_Pic01.jpg,翡翠樹蛙,http://www.zoo.gov.tw/iTAP/03_Animals/AmphibianReptile/Frog-ET/Frog-ET_Pic02.jpg,翡翠樹蛙,http://www.zoo.gov.tw/iTAP/03_Animals/AmphibianReptile/Frog-ET/Frog-ET_Pic03.jpg,翡翠樹蛙,http://www.zoo.gov.tw/iTAP/03_Animals/AmphibianReptile/Frog-ET/Frog-ET_Pic04.jpg,,,,,,,,,,,,2015/11/23,81
臺灣錦蛇,,,,MULTIPOINT ((121.5898494 24.9940697)),兩棲爬蟲動物館,兩棲爬蟲動物館,Taiwan beauty rat snake,Elaphe taeniura friesei,脊索動物門,爬蟲綱,蛇亞目,黃頷蛇科,,臺灣特有亞種。,生活在中.低海拔山區和平地的樹林底層.灌叢.草地和農耕地。,,,,,,,,,Snake-TB,臺灣錦蛇,http://www.zoo.gov.tw/iTAP/03_Animals/AmphibianReptile/Snake-TB/Snake-TB_Pic01.jpg,臺灣錦蛇,http://www.zoo.gov.tw/iTAP/03_Animals/AmphibianReptile/Snake-TB/Snake-TB_Pic02.jpg,臺灣錦蛇,http://www.zoo.gov.tw/iTAP/03_Animals/AmphibianReptile/Snake-TB/Snake-TB_Pic03.jpg,臺灣錦蛇,http://www.zoo.gov.tw/iTAP/03_Animals/AmphibianReptile/Snake-TB/Snake-TB_Pic04.jpg,,,,,,,,,,,,2015/11/23,82
